SKMNWKDMZL301		10.39.2.97
SKMNWKDMZL302		10.39.2.101
SKMNWKMZL301		10.24.244.26
SKMNWKMZL302		10.24.244.30
SKMNWCTLL301#1		10.24.244.194
SKMNWCLTRT01		10.24.244.38
SKMNWCLTRT02		10.24.244.34
SKMNWKINTRT01		10.24.246.26
SKMNWKEXTRT01		10.24.246.10
FJSNWKDMZL301		10.39.6.97
FJSNWKINTRT01		10.24.246.30
FJSNWKEXTRT01		10.24.246.14
ooteplaceW25FWANL301	10.221.127.10
ooteplaceW25FWANL302	10.221.127.11
tamachiGP5FRT01		10.26.253.154
tamachiGP5FRT02		10.26.253.155
ootehonW3FL301		10.26.254.29
ootehonW3FL302		10.26.254.30
dojima1MC5FL301		10.26.254.90
dojima1MC5FL302		10.26.254.91
DCMakasakaAIR33FRT01	10.26.253.170
DCMakasakaAIR33FRT02	10.26.253.171
DCMumedaDT19FRT01	10.26.253.178
DCMumedaDT19FRT02	10.26.253.179
